Date,Close/Last,Volume,Open,High,Low
10/26/2023,0.55236,N/A,0.55693,0.55856,0.54901
10/25/2023,0.55593,N/A,0.55318,0.55838,0.5525
10/24/2023,0.55301,N/A,0.54601,0.56084,0.55125
10/23/2023,0.54967,N/A,0.52446,0.55702,0.54309
10/22/2023,0.52516,N/A,0.51991,0.52703,0.5199
10/21/2023,0.51949,N/A,0.5139,0.52384,0.5166
10/20/2023,0.51333,N/A,0.52051,0.51522,0.51117
10/19/2023,0.5185,N/A,0.48338,0.5296,0.51279
10/18/2023,0.48298,N/A,0.49049,0.48809,0.48153
10/17/2023,0.49014,N/A,0.49278,0.49127,0.48853
10/16/2023,0.4926,N/A,0.48763,0.49798,0.49258
10/15/2023,0.48739,N/A,0.48571,0.48857,0.48619
10/14/2023,0.4863,N/A,0.48528,0.48769,0.4851
10/13/2023,0.48501,N/A,0.48279,0.48639,0.4844
10/12/2023,0.48306,N/A,0.48591,0.48528,0.4825
10/11/2023,0.48591,N/A,0.48932,0.48896,0.48388
10/10/2023,0.49006,N/A,0.50027,0.49772,0.48931
10/09/2023,0.5002,N/A,0.51879,0.50261,0.49808
10/08/2023,0.51906,N/A,0.52273,0.52002,0.5144
10/07/2023,0.52238,N/A,0.52348,0.52339,0.52113
10/06/2023,0.52415,N/A,0.52557,0.52548,0.52346
10/05/2023,0.52597,N/A,0.52945,0.52693,0.52248
10/04/2023,0.52939,N/A,0.53577,0.53264,0.52709
10/03/2023,0.53598,N/A,0.51369,0.54202,0.52197
10/02/2023,0.51367,N/A,0.52575,0.5147,0.51008
10/01/2023,0.52501,N/A,0.51683,0.52586,0.52136
09/30/2023,0.51641,N/A,0.51719,0.51657,0.51386
09/29/2023,0.5163,N/A,0.50939,0.52171,0.51462
09/28/2023,0.50951,N/A,0.49793,0.51271,0.5093
09/27/2023,0.49817,N/A,0.5031,0.5012,0.49793
